S.no,Category,Status
1,Valves,Deactive
2,"Electric Motors & Spares",Deactive
3,"Water Treatment Plants & Spares",Deactive
4,"Air Compressors & Spares",Deactive
5,"Speciality Lubricants",Deactive
6,"Pumps, Systems & Spares",Deactive
7,"Industrial Special Adhesives",Deactive
8,pumpset,Deactive
9,RESIN,Deactive
10,"HGC 3/13 Pump Spares",Deactive
11,"Submersible Pump Spares",Deactive
12,Drives,Deactive
13,"Pumps,Spares,Motors Services",Deactive
14,testcategory,Deactive
15,testcategory1,Deactive
16,"Air Net Piping",Deactive
17,Pumps,Deactive
18,"Mechanical Seal Spares",Deactive
19,"AODD Pump",Deactive
20,"NRV Valves Spares",Deactive
21,Panel,Deactive
22,"Scroll Compressor",Deactive
